nps_id,customer_id,score,comment
13000000000,1083,10,
13000000001,1383,5,Volvería a comprar
13000000002,179,10,Atención muy buena
13000000003,566,7,Todo perfecto
13000000004,1004,8,Atención muy buena
13000000005,1261,10,Tardó un poco más de lo esperado
13000000006,1376,6,Todo perfecto
13000000007,837,3,Volvería a comprar
13000000008,994,7,Todo perfecto
13000000009,192,8,Entrega rápida y producto excelente
13000000010,1330,6,
13000000011,442,0,Atención muy buena
13000000012,57,7,Atención muy buena
13000000013,559,8,Entrega rápida y producto excelente
13000000014,130,10,Muy conforme con la calidad
13000000015,238,4,Volvería a comprar
13000000016,629,8,Entrega rápida y producto excelente
13000000017,1162,7,Entrega rápida y producto excelente
13000000018,80,9,Entrega rápida y producto excelente
13000000019,1233,2,Muy conforme con la calidad
13000000020,217,2,Entrega rápida y producto excelente
13000000021,1015,5,Volvería a comprar
13000000022,1086,7,Atención muy buena
13000000023,692,9,Muy conforme con la calidad
13000000024,960,6,Podría mejorar el empaque
13000000025,695,2,Volvería a comprar
13000000026,438,10,Volvería a comprar
13000000027,564,9,Muy conforme con la calidad
13000000028,1261,7,Volvería a comprar
13000000029,1122,4,Atención muy buena
13000000030,1427,5,Muy conforme con la calidad
13000000031,661,10,Podría mejorar el empaque
13000000032,1055,8,Todo perfecto
13000000033,321,8,Podría mejorar el empaque
13000000034,500,10,Atención muy buena
13000000035,544,8,Volvería a comprar
13000000036,1405,8,Atención muy buena
13000000037,952,5,Podría mejorar el empaque
13000000038,128,3,Entrega rápida y producto excelente
13000000039,342,8,Tardó un poco más de lo esperado
13000000040,19,3,Podría mejorar el empaque
13000000041,189,8,Muy conforme con la calidad
13000000042,797,4,Todo perfecto
13000000043,1004,8,Entrega rápida y producto excelente
13000000044,426,9,Todo perfecto
13000000045,1026,8,Muy conforme con la calidad
13000000046,812,7,
13000000047,994,10,Entrega rápida y producto excelente
13000000048,1171,10,
13000000049,1207,2,Podría mejorar el empaque
13000000050,1467,8,Todo perfecto
13000000051,1484,8,Muy conforme con la calidad
13000000052,815,9,Atención muy buena
13000000053,500,9,Todo perfecto
13000000054,1048,10,
13000000055,19,7,Entrega rápida y producto excelente
13000000056,804,7,Podría mejorar el empaque
13000000057,500,9,Entrega rápida y producto excelente
13000000058,1179,7,Podría mejorar el empaque
13000000059,902,9,Entrega rápida y producto excelente
13000000060,548,6,Atención muy buena
13000000061,1335,9,Volvería a comprar
13000000062,903,10,
13000000063,807,8,Todo perfecto
13000000064,43,7,Tardó un poco más de lo esperado
13000000065,1189,8,Todo perfecto
13000000066,554,7,Entrega rápida y producto excelente
13000000067,1411,9,Podría mejorar el empaque
13000000068,990,2,Podría mejorar el empaque
13000000069,581,8,Entrega rápida y producto excelente
13000000070,1214,2,Muy conforme con la calidad
13000000071,1182,8,
13000000072,56,9,Muy conforme con la calidad
13000000073,1443,9,Muy conforme con la calidad
13000000074,822,9,Podría mejorar el empaque
13000000075,18,7,Atención muy buena
13000000076,436,8,Podría mejorar el empaque
13000000077,558,9,Volvería a comprar
13000000078,1202,9,Todo perfecto
13000000079,1412,0,Podría mejorar el empaque
13000000080,1336,6,Tardó un poco más de lo esperado
13000000081,1336,7,Muy conforme con la calidad
13000000082,1224,10,
13000000083,859,9,Atención muy buena
13000000084,818,10,Volvería a comprar
13000000085,816,6,Entrega rápida y producto excelente
13000000086,653,9,Muy conforme con la calidad
13000000087,1056,8,Tardó un poco más de lo esperado
13000000088,1037,7,Entrega rápida y producto excelente
13000000089,959,8,Podría mejorar el empaque
13000000090,1406,6,Atención muy buena
13000000091,1296,9,Entrega rápida y producto excelente
13000000092,629,5,Atención muy buena
13000000093,439,4,Tardó un poco más de lo esperado
13000000094,1423,8,Todo perfecto
13000000095,1336,8,Podría mejorar el empaque
13000000096,1453,6,
13000000097,722,8,Podría mejorar el empaque
13000000098,616,10,Volvería a comprar
13000000099,1104,10,Todo perfecto
13000000100,1004,4,Tardó un poco más de lo esperado
13000000101,304,9,Podría mejorar el empaque
13000000102,114,10,Atención muy buena
13000000103,248,9,Entrega rápida y producto excelente
13000000104,208,5,Podría mejorar el empaque
13000000105,445,10,Tardó un poco más de lo esperado
13000000106,1304,10,Volvería a comprar
13000000107,1493,7,Muy conforme con la calidad
13000000108,1123,8,Entrega rápida y producto excelente
13000000109,174,5,Podría mejorar el empaque
13000000110,825,8,Podría mejorar el empaque
13000000111,1120,4,Todo perfecto
13000000112,1101,3,Atención muy buena
13000000113,659,7,Tardó un poco más de lo esperado
13000000114,1379,7,Tardó un poco más de lo esperado
13000000115,550,9,Volvería a comprar
13000000116,1177,7,Todo perfecto
13000000117,1149,9,Todo perfecto
13000000118,236,9,Volvería a comprar
13000000119,226,9,Volvería a comprar
13000000120,850,6,Entrega rápida y producto excelente
13000000121,599,8,Volvería a comprar
13000000122,1230,9,Entrega rápida y producto excelente
13000000123,1177,7,Volvería a comprar
13000000124,728,9,Todo perfecto
13000000125,268,7,Podría mejorar el empaque
13000000126,980,8,Atención muy buena
13000000127,902,5,Muy conforme con la calidad
13000000128,800,4,Podría mejorar el empaque
13000000129,1447,10,Podría mejorar el empaque
13000000130,130,7,Entrega rápida y producto excelente
13000000131,1176,9,Podría mejorar el empaque
13000000132,771,8,Entrega rápida y producto excelente
13000000133,158,0,Atención muy buena
13000000134,811,1,
13000000135,1369,8,Podría mejorar el empaque
13000000136,131,8,Atención muy buena
13000000137,69,9,
13000000138,395,9,Muy conforme con la calidad
13000000139,1106,6,Entrega rápida y producto excelente
13000000140,4,0,Atención muy buena
13000000141,292,7,
13000000142,1467,5,Entrega rápida y producto excelente
13000000143,317,1,Todo perfecto
13000000144,1374,10,Todo perfecto
13000000145,607,6,
13000000146,661,8,
13000000147,315,7,
13000000148,522,0,Podría mejorar el empaque
13000000149,697,2,Entrega rápida y producto excelente
13000000150,1351,5,Todo perfecto
13000000151,1209,9,Tardó un poco más de lo esperado
13000000152,93,8,Tardó un poco más de lo esperado
13000000153,8,8,
13000000154,1487,8,Todo perfecto
13000000155,501,9,
13000000156,949,8,
13000000157,745,10,Atención muy buena
13000000158,58,8,Atención muy buena
13000000159,1226,9,Muy conforme con la calidad
13000000160,952,8,Podría mejorar el empaque
13000000161,1424,7,Podría mejorar el empaque
13000000162,146,8,Volvería a comprar
13000000163,831,3,Todo perfecto
13000000164,991,0,Tardó un poco más de lo esperado
13000000165,485,8,Tardó un poco más de lo esperado
13000000166,789,4,Volvería a comprar
13000000167,1456,1,Entrega rápida y producto excelente
13000000168,1341,8,Todo perfecto
13000000169,993,7,Entrega rápida y producto excelente
13000000170,710,8,
13000000171,609,6,
13000000172,763,4,Tardó un poco más de lo esperado
13000000173,1356,1,Volvería a comprar
13000000174,1275,7,Entrega rápida y producto excelente
13000000175,490,9,Todo perfecto
13000000176,523,9,
13000000177,1234,9,Volvería a comprar
13000000178,1163,8,
13000000179,406,8,Atención muy buena
13000000180,835,2,Volvería a comprar
13000000181,320,8,Volvería a comprar
13000000182,414,7,Muy conforme con la calidad
13000000183,1463,9,
13000000184,928,10,
13000000185,643,9,Podría mejorar el empaque
13000000186,999,2,
13000000187,207,7,Muy conforme con la calidad
13000000188,641,0,Entrega rápida y producto excelente
13000000189,1110,1,Podría mejorar el empaque
13000000190,1062,8,Todo perfecto
13000000191,698,1,
13000000192,1236,10,Todo perfecto
13000000193,755,8,Volvería a comprar
13000000194,329,7,Podría mejorar el empaque
13000000195,800,7,Todo perfecto
13000000196,678,10,Todo perfecto
13000000197,1383,10,Tardó un poco más de lo esperado
13000000198,1251,10,Todo perfecto
13000000199,1252,7,Entrega rápida y producto excelente
13000000200,283,5,Todo perfecto
13000000201,907,2,Todo perfecto
13000000202,893,1,Entrega rápida y producto excelente
13000000203,413,8,Volvería a comprar
13000000204,788,10,Podría mejorar el empaque
13000000205,350,8,Todo perfecto
13000000206,758,5,Muy conforme con la calidad
13000000207,699,10,Muy conforme con la calidad
13000000208,689,9,Tardó un poco más de lo esperado
13000000209,348,1,Tardó un poco más de lo esperado
13000000210,974,9,Entrega rápida y producto excelente
13000000211,444,7,Muy conforme con la calidad
13000000212,96,9,Tardó un poco más de lo esperado
13000000213,674,7,Podría mejorar el empaque
13000000214,867,8,Muy conforme con la calidad
13000000215,686,7,
13000000216,640,10,Todo perfecto
13000000217,1191,9,Entrega rápida y producto excelente
13000000218,321,5,Volvería a comprar
13000000219,1045,3,Entrega rápida y producto excelente
13000000220,644,10,Atención muy buena
13000000221,514,8,Todo perfecto
13000000222,649,6,
13000000223,1294,5,Podría mejorar el empaque
13000000224,814,4,Volvería a comprar
13000000225,801,7,Entrega rápida y producto excelente
13000000226,351,5,Todo perfecto
13000000227,838,8,Todo perfecto
13000000228,78,6,Podría mejorar el empaque
13000000229,1338,2,Podría mejorar el empaque
13000000230,182,7,
13000000231,560,4,Atención muy buena
13000000232,1390,6,
13000000233,130,4,Tardó un poco más de lo esperado
13000000234,1143,2,Muy conforme con la calidad
13000000235,223,7,Atención muy buena
13000000236,622,2,Volvería a comprar
13000000237,1328,9,Muy conforme con la calidad
13000000238,1192,7,Tardó un poco más de lo esperado
13000000239,119,2,Tardó un poco más de lo esperado
13000000240,1115,8,Podría mejorar el empaque
13000000241,49,8,Todo perfecto
13000000242,1133,5,Muy conforme con la calidad
13000000243,193,9,Volvería a comprar
13000000244,539,6,Tardó un poco más de lo esperado
13000000245,200,7,Podría mejorar el empaque
13000000246,1084,10,Podría mejorar el empaque
13000000247,422,10,Entrega rápida y producto excelente
13000000248,348,6,Entrega rápida y producto excelente
13000000249,951,9,Volvería a comprar
13000000250,251,7,Tardó un poco más de lo esperado
13000000251,26,8,Atención muy buena
13000000252,1063,6,Volvería a comprar
13000000253,271,8,Podría mejorar el empaque
13000000254,567,9,Entrega rápida y producto excelente
13000000255,254,9,Atención muy buena
13000000256,66,6,Entrega rápida y producto excelente
13000000257,518,0,Entrega rápida y producto excelente
13000000258,603,7,Tardó un poco más de lo esperado
13000000259,321,4,
13000000260,1210,9,Tardó un poco más de lo esperado
13000000261,407,7,Atención muy buena
13000000262,996,9,Podría mejorar el empaque
13000000263,1192,8,Tardó un poco más de lo esperado
13000000264,221,1,Podría mejorar el empaque
13000000265,1189,6,Muy conforme con la calidad
13000000266,1230,9,Todo perfecto
13000000267,244,6,Podría mejorar el empaque
13000000268,416,6,Entrega rápida y producto excelente
13000000269,289,7,
13000000270,233,0,Todo perfecto
13000000271,300,7,Todo perfecto
13000000272,1066,5,Atención muy buena
13000000273,854,10,Atención muy buena
13000000274,1339,7,Tardó un poco más de lo esperado
13000000275,484,10,Todo perfecto
13000000276,948,6,Entrega rápida y producto excelente
13000000277,713,6,Tardó un poco más de lo esperado
13000000278,1466,9,Entrega rápida y producto excelente
13000000279,426,7,Atención muy buena
13000000280,1313,0,Todo perfecto
13000000281,995,4,Muy conforme con la calidad
13000000282,499,8,Tardó un poco más de lo esperado
13000000283,1408,7,Tardó un poco más de lo esperado
13000000284,498,8,Entrega rápida y producto excelente
13000000285,840,6,Muy conforme con la calidad
13000000286,92,9,Tardó un poco más de lo esperado
13000000287,1449,9,Tardó un poco más de lo esperado
13000000288,1129,7,Entrega rápida y producto excelente
13000000289,972,8,
13000000290,260,8,Volvería a comprar
13000000291,683,4,Tardó un poco más de lo esperado
13000000292,1042,2,Volvería a comprar
13000000293,1422,6,Muy conforme con la calidad
13000000294,1347,9,
13000000295,705,8,Muy conforme con la calidad
13000000296,1306,10,Entrega rápida y producto excelente
13000000297,327,0,Entrega rápida y producto excelente
13000000298,1119,5,Podría mejorar el empaque
13000000299,2,10,Muy conforme con la calidad
13000000300,988,8,Podría mejorar el empaque
13000000301,1485,8,Atención muy buena
13000000302,791,8,Volvería a comprar
13000000303,204,9,Podría mejorar el empaque
13000000304,22,8,Entrega rápida y producto excelente
13000000305,510,1,
13000000306,614,9,
13000000307,27,9,Podría mejorar el empaque
13000000308,1319,6,Todo perfecto
13000000309,845,9,Volvería a comprar
13000000310,783,5,Muy conforme con la calidad
13000000311,1350,9,
13000000312,773,7,Todo perfecto
13000000313,1457,4,Tardó un poco más de lo esperado
13000000314,1488,9,Atención muy buena
13000000315,1286,10,Muy conforme con la calidad
13000000316,1306,9,Tardó un poco más de lo esperado
13000000317,397,8,Podría mejorar el empaque
13000000318,341,4,Entrega rápida y producto excelente
13000000319,1475,9,Entrega rápida y producto excelente
13000000320,963,5,Entrega rápida y producto excelente
13000000321,423,9,Todo perfecto
13000000322,1176,9,Entrega rápida y producto excelente
13000000323,1128,8,Tardó un poco más de lo esperado
13000000324,56,8,Todo perfecto
13000000325,389,5,Atención muy buena
13000000326,598,9,Podría mejorar el empaque
13000000327,2,7,Todo perfecto
13000000328,118,8,Volvería a comprar
13000000329,835,10,
13000000330,554,7,Todo perfecto
13000000331,371,10,
13000000332,965,9,Volvería a comprar
13000000333,687,6,Atención muy buena
13000000334,516,9,
13000000335,1295,8,Volvería a comprar
13000000336,660,4,Tardó un poco más de lo esperado
13000000337,838,8,
13000000338,447,8,Atención muy buena
13000000339,1187,4,Volvería a comprar
13000000340,1457,7,Entrega rápida y producto excelente
13000000341,16,7,Podría mejorar el empaque
13000000342,1421,0,Tardó un poco más de lo esperado
13000000343,861,9,Muy conforme con la calidad
13000000344,515,2,Todo perfecto
13000000345,280,10,Entrega rápida y producto excelente
13000000346,829,7,Podría mejorar el empaque
13000000347,1319,10,Entrega rápida y producto excelente
13000000348,682,10,Tardó un poco más de lo esperado
13000000349,649,7,Entrega rápida y producto excelente
13000000350,1041,8,Todo perfecto
