order_id,order_date_sk,customer_sk,store_sk,status,subtotal,tax_amount,shipping_fee,total_amount
1000000000,331,356,,FULFILLED,51600.0,10836.0,1200.0,63636.0
1000000001,31,601,,CREATED,63840.0,13406.4,900.0,78146.4
1000000002,423,1234,,FULFILLED,25260.0,5304.6,1500.0,32064.6
1000000003,426,156,,FULFILLED,25500.0,5355.0,0.0,30855.0
1000000004,90,616,,FULFILLED,44175.0,9276.75,0.0,53451.75
1000000005,72,614,2.0,FULFILLED,24000.0,5040.0,0.0,29040.0
1000000006,562,188,,REFUNDED,14250.0,2992.5,1200.0,18442.5
1000000007,316,17,,FULFILLED,13500.0,2835.0,1200.0,17535.0
1000000008,238,1148,,FULFILLED,89100.0,18711.0,1200.0,109011.0
1000000009,90,1037,,PAID,12825.0,2693.25,1200.0,16718.25
1000000010,73,1336,1.0,REFUNDED,14700.0,3087.0,0.0,17787.0
1000000011,534,1239,,FULFILLED,34140.0,7169.4,0.0,41309.4
1000000012,222,1426,,FULFILLED,35280.0,7408.8,0.0,42688.8
1000000013,448,862,1.0,PAID,101887.5,21396.38,0.0,123283.88
1000000014,596,181,,PAID,11760.0,2469.6,900.0,15129.6
1000000015,259,700,,CANCELLED,23520.0,4939.2,1200.0,29659.2
1000000016,605,475,,FULFILLED,22680.0,4762.8,1200.0,28642.8
1000000017,416,753,2.0,FULFILLED,66870.0,14042.7,0.0,80912.7
1000000018,196,1151,,CANCELLED,81990.0,17217.9,900.0,100107.9
1000000019,477,793,,FULFILLED,37044.0,7779.24,1200.0,46023.24
1000000020,127,866,,FULFILLED,49500.0,10395.0,0.0,59895.0
1000000021,632,1110,,FULFILLED,23520.0,4939.2,1200.0,29659.2
1000000022,91,854,1.0,REFUNDED,24000.0,5040.0,0.0,29040.0
1000000023,552,379,,FULFILLED,68400.0,14364.0,0.0,82764.0
1000000024,427,441,2.0,FULFILLED,11760.0,2469.6,0.0,14229.6
1000000025,604,125,,FULFILLED,70087.5,14718.38,1200.0,86005.88
1000000026,347,1201,,FULFILLED,13500.0,2835.0,1200.0,17535.0
1000000027,337,1055,,FULFILLED,22800.0,4788.0,900.0,28488.0
1000000028,138,382,,FULFILLED,12000.0,2520.0,0.0,14520.0
1000000029,623,1456,,FULFILLED,64740.0,13595.4,900.0,79235.4
1000000030,526,1377,,PAID,34200.0,7182.0,0.0,41382.0
1000000031,496,1375,,PAID,23520.0,4939.2,0.0,28459.2
1000000032,440,821,,FULFILLED,27000.0,5670.0,1200.0,33870.0
1000000033,160,1475,,FULFILLED,14700.0,3087.0,0.0,17787.0
1000000034,322,634,2.0,FULFILLED,85387.5,17931.38,0.0,103318.88
1000000035,12,585,1.0,FULFILLED,21600.0,4536.0,0.0,26136.0
1000000036,268,180,,FULFILLED,49800.0,10458.0,900.0,61158.0
1000000037,26,482,,FULFILLED,24696.0,5186.16,1200.0,31082.16
1000000038,33,620,1.0,FULFILLED,11760.0,2469.6,0.0,14229.6
1000000039,144,603,1.0,FULFILLED,59160.0,12423.6,0.0,71583.6
1000000040,64,1028,,CANCELLED,11400.0,2394.0,1200.0,14994.0
1000000041,14,1005,,FULFILLED,24510.0,5147.1,0.0,29657.1
1000000042,271,790,,FULFILLED,10260.0,2154.6,1500.0,13914.6
1000000043,142,665,,PAID,39600.0,8316.0,900.0,48816.0
